Date;Cover User;ProjectReference;Customer;BuildSite;User Key;
09062020;Administrator;1;;;461035307279767895;

Type;Provider;Order reference;Reference;Description;Quantity;Packaging - L;Packaging - H;cumulated length;Interior color;Interior Finition;Exterior Color;Exterior finition;Unit Price;Price;
Beam;Flandria;100048;100048;L 50x20x2 ;2;6040;;9799.00;;;7046;RAL BR;17.44;34.87;
Beam;Flandria;100160;100160;L 40x25x2;2;6040;;6525.60;;;7046;RAL BR;16.42;32.84;
Beam;Flandria;100197;100197;L 50x20x3 ;2;6040;;9755.00;;;;;14.94;29.88;
Beam;Flandria;422278;422278;Szyna Alu Gr;5;6500;;24500.51;;;;;13.16;65.80;
Beam;Flandria;422290;422290;Szykana Gr;10;5000;;40804.12;7046;RAL BR;;;11.65;116.53;
Beam;Flandria;422323;422323;Listwa maskujaca Gr;7;6500;;40096.08;7046;RAL BR;;;15.91;111.38;
Beam;Flandria;422385;422385;Listwa maskujaca Gr;5;6500;;30575.54;7046;RAL BR;;;21.51;107.57;
Beam;Flandria;422417;422417;Listwa przyszybowa_31,7 All;3;6500;;17052.55;7046;RAL BR;;;19.16;57.48;
Beam;Flandria;422419;422419;Listwa przyszybowa Gr;15;6500;;86834.42;7046;RAL BR;;;12.13;181.99;
Beam;Flandria;430744;430744;Profil nascienny gorny ;2;6500;;9799.00;;;7046;RAL BR;34.11;68.22;
Beam;Flandria;430745;430745;Listwa miedzybelkowa Var;3;6500;;17845.56;7046;RAL BR;;;45.95;137.84;
Beam;Flandria;430747;430747;Obudowa splywu wody;1;5000;;4400.00;;;7046;RAL BR;55.87;55.87;
Beam;Flandria;430748;430748;Mocowanie splywu wody;1;5000;;4400.00;;;;;15.02;15.02;
Beam;Flandria;431095;431095;Profil nascienny regul. 1/2;1;4500;;4400.00;7046;RAL BR;;;39.82;39.82;
Beam;Flandria;431095;431095;Profil nascienny regul. 1/2;1;6500;;5145.00;7046;RAL BR;;;57.52;57.52;
Beam;Flandria;431096;431096;Profil nascienny regul. 2/2 Var ;1;4500;;4400.00;7046;RAL BR;;;16.94;16.94;
Beam;Flandria;431096;431096;Profil nascienny regul. 2/2 Var ;1;6500;;5355.00;7046;RAL BR;;;24.46;24.46;
Beam;Flandria;431098;431098;Podwyzszenie rynny stand.;1;4500;;4400.00;;;7046;RAL BR;40.05;40.05;
Beam;Flandria;431098;431098;Podwyzszenie rynny stand.;1;6500;;5399.00;;;7046;RAL BR;57.85;57.85;
Beam;Flandria;431232;431232;Rygiel dachowy;2;6500;;9408.98;7046;RAL BR;;;31.29;62.59;
Beam;Flandria;431292;431292;Pokrywa krokwi;7;6500;;44334.24;;;7046;RAL BR;19.36;135.52;
Beam;Flandria;431349;431349;Mocowanie uszczelki;2;6500;;9799.00;;;7046;RAL BR;26.22;52.44;
Beam;Flandria;431356;431356;Krokiew-105 Var;7;6500;;42691.88;7046;RAL BR;;;101.9;713.32;
Beam;Flandria;431484;431484;Przylga krokwi;7;6500;;43718.25;;;;;27.25;190.75;
Beam;Flandria;431551;431551;Profil krawedziowy;2;4700;;6498.04;;;7046;RAL BR;36.1;72.20;
Beam;Flandria;431782;431782;Rynna standardowa;1;4500;;4400.00;;;7046;RAL BR;76.95;76.95;
Beam;Flandria;431782;431782;Rynna standardowa;1;6500;;5399.00;;;7046;RAL BR;111.15;111.15;
Beam;Flandria;431964;431964;Pokrywa rygiel dachowy;2;6500;;9408.98;;;7046;RAL BR;17.24;34.48;
Beam;Flandria;440739;440739;Pokrywa 50 slupa 125;2;4500;;6678.82;;;7046;RAL BR;10.26;20.52;
Beam;Flandria;440739;440739;Pokrywa 50 slupa 125;1;5500;;4400.00;;;7046;RAL BR;12.54;12.54;
Beam;Flandria;738211;738211;Maskownica prowadnica Gr;20;6500;;102820.25;;;;;7.89;157.79;
Beam;Flandria;738213;738213;Szykana PVC Gr;10;5000;;40804.12;;;;;12.37;123.68;
Beam;Flandria;738279;738279;PVC izolacja krokiew;14;3800;;42691.89;;;;;3.35;46.94;
Beam;Flandria;999231;999231;Oscieznica_24 All;3;6500;;13586.81;7046;RAL BR;7046;RAL BR;67.92;203.77;
Beam;Flandria;999233;999233;Przewiazka_24 All;1;6500;;2281.68;7046;RAL BR;7046;RAL BR;73.83;73.83;
Beam;Flandria;999255;999255;Profil poszerzajacy_50 All;1;6500;;775.64;7046;RAL BR;7046;RAL BR;85.89;85.89;
Beam;Flandria;999282;999282;Skrzydlo Gr;1;5000;;2907.24;7046;RAL BR;7046;RAL BR;65.36;65.36;
Beam;Flandria;999282;999282;Skrzydlo Gr;8;6500;;49306.06;7046;RAL BR;7046;RAL BR;84.96;679.71;
Beam;Flandria;999283;999283;Skrzydlo Gr;1;5000;;4182.00;7046;RAL BR;7046;RAL BR;56.46;56.46;
Beam;Flandria;999283;999283;Skrzydlo Gr;6;6500;;37638.12;7046;RAL BR;7046;RAL BR;73.39;440.36;
Beam;Flandria;999287;999287;Oscieznica 3-skrz Gr;10;6500;;52190.06;7046;RAL BR;7046;RAL BR;137.9;1379.04;
Beam;Flandria;999294;999294;Slup 125x50;2;4500;;6683.34;7046;RAL BR;7046;RAL BR;75;150.00;
Beam;Flandria;999294;999294;Slup 125x50;1;5500;;4400.00;7046;RAL BR;7046;RAL BR;91.67;91.67;
Beam;Flandria;999302;999302;Belka rynnowa Var;1;4500;;4400.00;7046;RAL BR;;;120.83;120.83;
Beam;Flandria;999302;999302;Belka rynnowa Var;1;6500;;5399.00;7046;RAL BR;;;174.53;174.53;
Beam;Flandria;999353;999353;Slup 90° 125x125;1;5500;;4585.58;7046;RAL BR;7046;RAL BR;135.09;135.09;
AccessoryPack;Flandria;732080;732080;Trzpien Iacznikowy;1;100;;4;;;;;17.68;17.68;
AccessoryPack;Flandria;732126;732126;Igla blokady;104;1;;104;;;;;.1;.1;
AccessoryPack;Flandria;732181;732181;Przelew rynny;34;1;;34;;;;;.39;.39;
AccessoryPack;Flandria;732187;732187;Klamra lacznikowa 135/150°;1;1;;1;;;;;.43;.43;
AccessoryPack;Flandria;732263;732263;Lacznik 180° rynnowa;1;1;;1;;;;;1.19;1.19;
AccessoryPack;Flandria;732286;732286;Katownik mocujacy slup 50;8;1;;8;;;;;2.28;2.28;
AccessoryPack;Flandria;733032;733032;Lacznik rynny 180°;1;1;;1;;;;;1.56;1.56;
AccessoryPack;Flandria;737086;737086;Nakladka przyscienna;2;1;;2;;;7046;RAL BR;5.92;5.92;
AccessoryPack;Flandria;737115;737115;Nakladka rynny standard;2;1;;2;;;7046;RAL BR;8.2;8.2;
AccessoryPack;Flandria;737120;737120;Koncowka krokiew 105 VAR;28;1;;28;7046;RAL BR;;;2.16;2.16;
AccessoryPack;Flandria;737145;737145;Zaslepka PVC pokrywy krokwi_gorna;14;1;;14;;;;;.81;.81;
AccessoryPack;Flandria;737148;737148;Zaslepka PVC pokrywy krokwi_dolna;14;1;;14;;;;;.81;.81;
AccessoryPack;Flandria;738169;738169;Zbierak wody krokwi;14;1;;14;;;;;.75;.75;
AccessoryPack;Flandria;742663;742663;Filtr PVC Ø80 rynny;2;1;;2;;;;;8.84;8.84;
AccessoryPack;Flandria;742932;742932;Katownik przegubowy skrecany All;5;1;;5;;;;;4.36;4.36;
AccessoryPack;Flandria;746007;746007;Wkr. metr. M6x10 stozek imbus Inox;10;1;;10;;;;;.07;.07;
AccessoryPack;Flandria;746055;746055;Blachowkr. walcowy Ø4.85x38 Inox;4;1;;4;;;;;.07;.07;
AccessoryPack;Flandria;746058;746058;Blachowkr. walcowy.Ø4.85x13 Inox;10;1;;10;;;;;.07;.07;
AccessoryPack;Flandria;746100;746100;Blachowkr. walcowy. Ø4.85x25_;96;1;;96;;;;;.07;.07;
AccessoryPack;Flandria;746103;746103;Blachowkr. walcowy. Ø5.5x32 Inox;140;1;;140;;;;;.12;.12;
AccessoryPack;Flandria;746114;746114;Blachowkr. walcowy Ø4.85x45 Inox;28;1;;28;;;;;.09;.09;
AccessoryPack;Flandria;746152;746152;Blachowkr. walcowy Ø5.5x60 Inox;14;1;;14;;;;;.16;.16;
AccessoryPack;Flandria;746165;746165;Podkladka EPDM 11x6x2;26;1;;26;;;;;.03;.03;
AccessoryPack;Flandria;746168;746168;Nakretka samohamowna M8 Inox;20;1;;20;;;;;.13;.13;
AccessoryPack;Flandria;746169;746169;Sruba M8x20 mlotek Inox;20;1;;20;;;;;.31;.31;
AccessoryPack;Flandria;746173;746173;Wkret samow. Ø4.2x13 Inox;263;1;;263;;;;;.05;.05;
AccessoryPack;Flandria;746175;746175;Wkret samow. Ø4.2x19 Inox;38;1;;38;;;;;.05;.05;
AccessoryPack;Flandria;746176;746176;Wkret samow. Ø4.2x25 Inox;34;1;;34;;;;;.06;.06;
AccessoryPack;Flandria;746189;746189;Wkret samow. Ø3.5x32 Inox;26;1;;26;;;;;.03;.03;
AccessoryPack;Flandria;746211;746211;Wkret samow. Ø3.9x45 Inox;26;1;;26;;;;;.1;.1;
AccessoryPack;Flandria;732265;732265;Naroznik_24 zaciskany;44;1;;44;;;;;.39;.39;
